property,seed,basis,arm,realization,alpha,baseline,corrected,delta,probe_r2_mean,coef_mae_mean,spearman_mean,frac_small,cond_median,cond_frac_gt_1e6,sens_delta,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,0,primary,null,0,,0.090131596,0.090131596,0.0,,,,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294647,0.090131596,,,,0.10123755,0.18293388
dipole,0,primary,tda,0,1000000.0,0.090131596,0.09043597912517932,0.00030438339439776974,-0.022705886729564195,0.10125608292118651,0.036660944682220864,0.007535534331052117,1.0,0.0,0.00022689266935603525,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.52947216232562,0.09043597912517932,,,,0.10237627404355863,0.1835365707341779
dipole,0,primary,random,0,1000000.0,0.090131596,0.09042471809350074,0.0002931223627191809,-0.022962936833733183,0.10120408031807246,-0.0029336923164483037,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162289,0.09042471809350074,,,,0.10232176454316223,0.18350958164828013
dipole,0,primary,random,1,100000.0,0.090131596,0.09042669347166316,0.00029509774088160023,-0.02301403835276039,0.10121038128890998,-0.003177767578002507,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162287504,0.09042669347166316,,,,0.10232878193767801,0.18351329741520353
dipole,0,primary,random,2,1000000.0,0.090131596,0.09042474592702528,0.00029315019624372163,-0.022961410366958646,0.10120445859772188,-0.007533623416428598,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294721622904515,0.09042474592702528,,,,0.10232206041542477,0.18350967733501436
dipole,0,primary,random,3,100000.0,0.090131596,0.09042647271896118,0.00029487698817962094,-0.023024949265650907,0.10120935879698562,-0.0044659797964524675,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162294984,0.09042647271896118,,,,0.1023267158682587,0.18351234144337855
dipole,0,primary,random,4,100000.0,0.090131596,0.09042523288669936,0.0002936371559178058,-0.02296516957385042,0.10120362592298432,0.0009560179827531266,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162283201,0.09042523288669936,,,,0.10232075180779648,0.1835099283110218
dipole,0,primary,shuffled,0,1e-05,0.090131596,0.09043128272237677,0.00029968699159521606,-0.02323505787611868,0.10122756062813677,-0.00016782055046422306,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162276981,0.09043128272237677,,,,0.10234913409779747,0.18352369190866255
dipole,0,primary,shuffled,1,1000000.0,0.090131596,0.09042531684057707,0.0002937211097955167,-0.02298687666603061,0.10120507572158206,0.007717779637941299,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162285849,0.09042531684057707,,,,0.10232376936891001,0.18351061355486217
dipole,0,primary,shuffled,2,1000000.0,0.090131596,0.09042099784347396,0.0002894021126924051,-0.022833979937868065,0.10119412232500384,-0.0016029389638716638,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162280646,0.09042099784347396,,,,0.10230949065869417,0.18350242161096988
dipole,0,primary,shuffled,3,1000000.0,0.090131596,0.09043319270335672,0.0003015969725751605,-0.023301549901148633,0.10122727238402002,-0.006686736624250549,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162308529,0.09043319270335672,,,,0.10235063035914195,0.18352646227750286
dipole,0,primary,shuffled,4,1000000.0,0.090131596,0.09042383680508309,0.0002922410743015358,-0.022927519092233783,0.1012016148263615,0.004515198024474032,0.007535534331052117,1.0,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529472162285013,0.09042383680508309,,,,0.102318802349573,0.18350780266022693
dipole,0,secondary,null,0,,0.090131596,0.090131596,0.0,,,,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294647,0.090131596,,,,0.10123755,0.18293388
dipole,0,secondary,tda,0,1000000.0,0.090131596,0.0904273427223026,0.00029574699152104533,-2.8251845816636607e-05,1.470925336287136,-0.005350153716802988,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.535613295223433,0.0904273427223026,,,,0.10180997426178973,0.1835130159315207
dipole,0,secondary,random,0,1000000.0,0.090131596,0.09042197705405487,0.0002903813232733171,-1.214792841741641e-05,1.47084235550708,0.0011918498865315765,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.537374257508343,0.09042197705405487,,,,0.10165954834104739,0.18351006892354976
dipole,0,secondary,random,1,1000000.0,0.090131596,0.09038973703099515,0.0002581413002135935,-8.401905127260653e-06,1.4708407324855142,-0.0038456850427617483,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.536474737867044,0.09038973703099515,,,,0.10161824143836093,0.18345152843595783
dipole,0,secondary,random,2,1000000.0,0.090131596,0.0903918703552578,0.0002602746244762394,-1.1270317773407848e-05,1.4708378456825948,-9.658237003136746e-05,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.536331481733324,0.0903918703552578,,,,0.10160476570108636,0.1834425512126004
dipole,0,secondary,random,3,1000000.0,0.090131596,0.0904070119570083,0.0002754162262267462,-8.528390483523532e-06,1.4708413916722367,-0.0019166401387578115,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.537038817681234,0.0904070119570083,,,,0.10163056124537977,0.1834771443963415
dipole,0,secondary,random,4,1000000.0,0.090131596,0.09040491427405334,0.0002733185432717833,-7.934954501909175e-06,1.4708397220294707,-0.0023425579145334814,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.537017697708556,0.09040491427405334,,,,0.10160343652358915,0.18347193243562807
dipole,0,secondary,shuffled,0,1000000.0,0.090131596,0.09055086332243915,0.00041926759165759886,-9.408701496571581e-06,1.4707878878179208,-0.0031771421990608797,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.535477902938721,0.09055086332243915,,,,0.1022021090000002,0.1837572155347828
dipole,0,secondary,shuffled,1,100000.0,0.090131596,0.09121886224654274,0.0010872665157611872,-2.6038964042444473e-05,1.4711794431788154,0.0003471459377720213,0.007535534331052117,34474.25696427008,0.20009024592013236,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5492370537701605,0.09121886224654274,,,,0.10320213273687419,0.18516141659586757
